CERTIFICATE NAME ,DATE RECIEVED,LINK 
AWS Database Migration,24-Oct-24,https://1drv.ms/b/c/5edeb085e25b9c4d/EY6wyFJ5_8RJjf5eIt6l3YcBPzWZlMDfYM-AiOjoUc2jLA?e=fs1efm
AWS Solutions Architect Associate,27-Dec-24,https://1drv.ms/b/c/5edeb085e25b9c4d/ESHOGiaJak1Isgwbuhn4C5cBEwIgL7rfT3z5XDDSuvusWg?e=kRM7yw
Become job-ready in coding: Basics of Data Structures and Algorithms,06-Aug-24,https://1drv.ms/b/c/5edeb085e25b9c4d/Ecwjc4VvkwpNvXU7plye_hkBclIE8u9Myy9dgKouR8_CwA?e=jVpV2A
CompTIA Linux+ Course,11-Mar-23,https://1drv.ms/b/c/5edeb085e25b9c4d/Eb7r-RowPC9BmDXrH_1N2B0BMnIvFCvvQNDfxO6LAlmZ3g?e=raSM0t
Google Cloud Platform Architect,01-Jul-24,https://1drv.ms/b/c/5edeb085e25b9c4d/Ec2rf-rW1PVMopsKTAW1-hcBlfgRA5Sr0MQBiTv_1y6s4g?e=uoyYji
Introduction to Data Analytics,13-Mar-25,https://1drv.ms/b/c/5edeb085e25b9c4d/EcsGY9NtE8RMp8U5P2FzYX0B0ArDSoYGxVelagrxAlc3vw?e=McXkP6
Microsoft Azure Fundamentals,08-Nov-24,https://1drv.ms/b/c/5edeb085e25b9c4d/ESFU1488NE1HpuKmP5coozsBIyQ3lweknDilA0mBLNd8dA?e=yg1TaT
Microsoft Certified Azure Administrator Associate AZ-104,21-Feb-25,https://1drv.ms/b/c/5edeb085e25b9c4d/EQmqyMGV8C5DkIfjqz6VgpYBOebMTCzqEp1Co5Da2xes7g?e=SYTwIr
